# file...... eplus_load.csv
# date...... Mon Jul 11 18:46:47 2022
# user...... yuanliang
# host...... (null)
# target.... meter 24
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power,measured_reactive_power,measured_voltage_AB
2013-07-01 00:00:00 PDT,+75000.9999211,+14.9999785432,+417.347+234.178j
2013-07-01 00:01:00 PDT,+1,+15,+407.425+234.944j
2013-07-01 00:02:00 PDT,+1,+15,+407.43+234.949j
2013-07-01 00:03:00 PDT,+1,+15,+407.434+234.951j
2013-07-01 00:04:00 PDT,+1,+15,+407.434+234.951j
2013-07-01 00:05:00 PDT,+1,+15,+407.172+234.8j
2013-07-01 00:06:00 PDT,+53781.1379678,+14.9999871118,+407.684+230.371j
2013-07-01 00:07:00 PDT,+53781.1379706,+15,+407.684+230.371j
2013-07-01 00:08:00 PDT,+53781.1379706,+15,+407.684+230.371j
2013-07-01 00:09:00 PDT,+53781.1379706,+15,+407.684+230.371j
2013-07-01 00:10:00 PDT,+53781.1379706,+15,+407.494+230.259j
2013-07-01 00:11:00 PDT,+48785.4351568,+15,+407.449+230.673j
2013-07-01 00:12:00 PDT,+48785.4351568,+15,+407.449+230.673j
2013-07-01 00:13:00 PDT,+48785.4351568,+15,+407.449+230.673j
2013-07-01 00:14:00 PDT,+48785.4351568,+15,+407.454+230.677j
2013-07-01 00:15:00 PDT,+48785.4351568,+15,+407.462+230.683j
2013-07-01 00:16:00 PDT,+48784.9163745,+15,+407.462+230.683j
2013-07-01 00:17:00 PDT,+48784.9163745,+15,+407.462+230.683j
2013-07-01 00:18:00 PDT,+48784.9163745,+15,+407.462+230.683j
2013-07-01 00:19:00 PDT,+48784.9163745,+15,+407.462+230.683j
2013-07-01 00:20:00 PDT,+48784.9163745,+15,+407.49+230.699j
2013-07-01 00:21:00 PDT,+48784.3740466,+15,+407.392+230.632j
2013-07-01 00:22:00 PDT,+48784.3740466,+15,+407.392+230.632j
2013-07-01 00:23:00 PDT,+48784.3740466,+15,+407.392+230.632j
2013-07-01 00:24:00 PDT,+48784.3740466,+15,+407.392+230.632j
2013-07-01 00:25:00 PDT,+48784.3740466,+15,+407.313+230.585j
2013-07-01 00:26:00 PDT,+48783.6846544,+15,+407.313+230.584j
2013-07-01 00:27:00 PDT,+48783.6846544,+15,+407.313+230.584j
2013-07-01 00:28:00 PDT,+48783.6846544,+15,+407.313+230.584j
2013-07-01 00:29:00 PDT,+48783.6846544,+15,+407.313+230.584j
2013-07-01 00:30:00 PDT,+48783.6846544,+15,+407.337+230.598j
2013-07-01 00:31:00 PDT,+48782.5978183,+15,+407.433+230.666j
2013-07-01 00:32:00 PDT,+48782.5978183,+15,+407.433+230.666j
2013-07-01 00:33:00 PDT,+48782.5978183,+15,+407.433+230.666j
2013-07-01 00:34:00 PDT,+48782.5978183,+15,+407.433+230.666j
2013-07-01 00:35:00 PDT,+48782.5978183,+15,+407.555+230.738j
2013-07-01 00:36:00 PDT,+48781.440524,+15,+407.555+230.738j
2013-07-01 00:37:00 PDT,+48781.440524,+15,+407.555+230.738j
2013-07-01 00:38:00 PDT,+48781.440524,+15,+407.555+230.738j
2013-07-01 00:39:00 PDT,+48781.440524,+15,+407.555+230.738j
2013-07-01 00:40:00 PDT,+48781.440524,+15,+407.508+230.711j
2013-07-01 00:41:00 PDT,+48780.2358161,+15,+407.459+230.677j
2013-07-01 00:42:00 PDT,+48780.2358161,+15,+407.459+230.677j
2013-07-01 00:43:00 PDT,+48780.2358161,+15,+407.46+230.677j
2013-07-01 00:44:00 PDT,+48780.2358161,+15,+407.46+230.677j
2013-07-01 00:45:00 PDT,+48780.2358161,+15,+407.452+230.673j
2013-07-01 00:46:00 PDT,+48778.9854299,+15,+407.405+230.638j
2013-07-01 00:47:00 PDT,+48778.9854299,+15,+407.405+230.638j
2013-07-01 00:48:00 PDT,+48778.9854299,+15,+407.405+230.638j
2013-07-01 00:49:00 PDT,+48778.9854299,+15,+407.408+230.645j
2013-07-01 00:50:00 PDT,+48778.9854299,+15,+407.427+230.657j
2013-07-01 00:51:00 PDT,+48777.6917022,+15,+407.524+230.727j
2013-07-01 00:52:00 PDT,+48777.6917022,+15,+407.524+230.727j
2013-07-01 00:53:00 PDT,+48777.6917022,+15,+407.524+230.727j
2013-07-01 00:54:00 PDT,+48777.6917021,+15,+407.524+230.727j
2013-07-01 00:55:00 PDT,+48777.6917022,+15,+407.617+230.782j
2013-07-01 00:56:00 PDT,+48776.3569772,+15,+407.57+230.75j
2013-07-01 00:57:00 PDT,+48776.3569772,+15,+407.57+230.75j
2013-07-01 00:58:00 PDT,+48776.3569772,+15,+407.57+230.75j
2013-07-01 00:59:00 PDT,+48776.3569772,+15,+407.57+230.75j
2013-07-01 01:00:00 PDT,+48776.3569772,+15,+407.561+230.745j
2013-07-01 01:01:00 PDT,+48774.9835238,+15,+407.445+230.662j
2013-07-01 01:02:00 PDT,+48774.9835238,+15,+407.446+230.663j
2013-07-01 01:03:00 PDT,+48774.9835238,+15,+407.446+230.663j
2013-07-01 01:04:00 PDT,+48774.9835238,+15,+407.446+230.663j
2013-07-01 01:05:00 PDT,+48774.9835238,+15,+407.375+230.622j
2013-07-01 01:06:00 PDT,+48773.0930822,+15.0000135401,+407.447+230.674j
